,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,NEW PRICE
0,4139430250,20150330T000000,1436000.0,4,3.5,4970,16582,2.0,0,3,4,11,3930.0,1040,1992,0,98006,47.5496,-122.12,3580,13335,1605109.57820599
1,1070000110,20141218T000000,1035290.0,4,2.5,2830,5932,2.0,0,0,3,9,2830.0,0,2014,0,98199,47.6479,-122.408,2840,5593,604251.8087396215
2,1446403850,20150114T000000,212000.0,2,1.0,790,7153,1.0,0,0,4,6,790.0,0,1944,0,98168,47.4869,-122.324,810,7128,237962.37597558746
3,9547200340,20150120T000000,520000.0,3,2.75,1700,3264,1.0,0,0,3,7,1060.0,640,1919,0,98115,47.6767,-122.311,1880,4080,608422.2471555417
4,1646501845,20140913T000000,570000.0,3,2.0,1270,3090,2.0,0,0,5,7,1270.0,0,1911,0,98117,47.685,-122.359,1440,3090,574731.9697723608
5,5423010180,20140724T000000,825000.0,4,2.25,2770,9340,2.0,0,0,4,9,2770.0,0,1979,0,98027,47.5628,-122.081,3010,9340,832302.9278484175
6,4077800088,20140811T000000,699950.0,4,2.0,2070,7830,1.0,0,1,5,7,1180.0,890,1941,0,98125,47.7058,-122.278,2390,7830,624231.4641843048
7,3449500135,20140625T000000,276900.0,3,1.0,1270,7566,1.0,0,0,4,7,1270.0,0,1958,0,98056,47.5074,-122.175,1780,7520,367065.06900614937
8,7972603950,20150102T000000,238000.0,2,1.0,750,6480,1.0,0,0,3,6,750.0,0,1943,0,98106,47.5195,-122.35,1050,6390,245660.9228810775
9,3566800040,20140607T000000,490000.0,3,3.0,1730,2940,3.0,0,0,3,7,1730.0,0,1985,0,98117,47.6911,-122.392,1690,4410,412915.92681653093
10,868000530,20140702T000000,645000.0,3,1.75,2270,11472,1.0,0,0,4,7,1370.0,900,1956,0,98177,47.7057,-122.374,2270,8340,497868.71446023264
11,7410200431,20140806T000000,430000.0,3,3.25,1550,1444,3.0,0,0,3,8,1550.0,0,2006,0,98115,47.6767,-122.291,1550,1444,506126.7115515358
12,1048000160,20140627T000000,504200.0,2,1.5,1200,1687,3.0,0,0,3,8,1200.0,0,2008,0,98103,47.6491,-122.334,1240,1296,434887.65698481246
13,103000116,20140722T000000,645000.0,3,1.75,2070,5500,1.0,0,0,4,7,1130.0,940,1946,0,98115,47.6733,-122.301,1800,4400,515433.6877159167
14,1321970240,20141204T000000,265000.0,4,2.5,2040,4443,2.0,0,0,3,8,2040.0,0,2001,0,98092,47.3182,-122.189,2040,4637,418249.8240930243
15,8815400735,20140529T000000,680000.0,3,2.25,2330,4000,1.5,0,2,5,7,1520.0,810,1927,0,98115,47.6732,-122.29,1870,4000,734166.7634603583
16,1313000650,20140711T000000,620000.0,4,2.25,2210,10039,1.0,0,0,4,8,1710.0,500,1967,0,98052,47.634,-122.101,2070,10965,520210.84071695054
17,2533300130,20140716T000000,800000.0,3,2.5,1630,2640,2.0,0,0,5,8,1630.0,0,1919,0,98119,47.6452,-122.371,1630,3000,775196.40729453
18,9390700095,20140808T000000,407500.0,2,1.0,770,2971,1.0,0,2,3,7,770.0,0,1923,0,98102,47.6358,-122.322,1440,4000,465935.6365334808
19,2595650220,20150421T000000,313100.0,3,2.0,1730,12821,1.0,0,0,3,8,1730.0,0,1994,0,98001,47.353,-122.272,1980,11336,414595.2436960927
20,685000265,20150102T000000,825000.0,3,1.75,1930,8442,1.0,0,0,4,7,1930.0,0,1953,0,98004,47.6313,-122.204,1790,8442,437404.0231399055
21,1972200751,20140519T000000,485000.0,2,2.25,1260,1240,3.0,0,0,3,8,1260.0,0,2004,0,98103,47.6531,-122.352,1330,1300,453475.3112468953
22,4073800140,20140811T000000,429000.0,3,3.25,2210,3600,2.0,0,0,3,8,1820.0,390,1995,0,98125,47.7031,-122.279,2010,6690,483805.06756251847
23,7116000425,20141125T000000,150000.0,2,1.0,720,4120,1.0,0,0,5,5,720.0,0,1915,0,98002,47.303,-122.217,940,6180,301116.3588754327
24,6145600285,20140529T000000,300000.0,2,1.0,820,3844,1.0,0,0,4,6,820.0,0,1916,0,98133,47.7049,-122.349,1520,3844,381852.0803202698
25,2767601752,20140707T000000,510000.0,3,2.5,1420,1237,3.0,0,0,3,8,1420.0,0,2014,0,98107,47.674,-122.387,1510,2501,468639.57471268263
26,2921700060,20141027T000000,535000.0,4,1.0,1920,6480,1.5,0,0,3,7,1920.0,0,1920,0,98117,47.6897,-122.374,1600,6470,494376.879123975
27,2260000210,20150209T000000,565000.0,3,1.75,2380,10450,1.0,0,0,3,8,1400.0,980,1977,0,98052,47.6409,-122.111,2150,9600,486013.48676836066
28,2826049091,20140929T000000,259950.0,2,1.0,790,8100,1.0,0,0,3,6,790.0,0,1947,0,98125,47.7159,-122.305,1420,8100,244938.89954543172
29,4151800410,20141031T000000,1348000.0,5,3.25,3540,5971,1.0,0,2,3,10,2000.0,1540,2005,0,98033,47.6643,-122.202,2820,6029,905911.0055370756
30,2426049113,20150414T000000,459000.0,4,1.5,2020,9583,2.0,0,0,4,7,2020.0,0,1963,0,98034,47.7283,-122.238,1770,8625,382873.2763887518
31,1498303905,20150402T000000,615000.0,4,1.5,1980,3240,1.5,0,0,4,8,1780.0,200,1930,0,98144,47.584,-122.294,2250,4000,718644.1341643684
32,2313900510,20141028T000000,532500.0,3,1.75,1330,5000,2.0,0,0,4,7,1210.0,120,1909,0,98116,47.5724,-122.384,1500,4000,544410.2090499088
33,5072400100,20150413T000000,571000.0,4,2.25,2290,9900,1.0,0,2,4,8,1550.0,740,1959,0,98166,47.4434,-122.343,2320,9900,634149.5989511934
34,7972601950,20140617T000000,379900.0,5,3.5,2800,7350,2.0,0,0,3,7,2800.0,0,1995,0,98106,47.5273,-122.345,2190,7620,414465.4728054766
35,5467900070,20140502T000000,342000.0,3,2.0,1930,11947,1.0,0,0,4,8,1930.0,0,1966,0,98042,47.3672,-122.151,2200,12825,520246.7276965833
36,7129302685,20140911T000000,699000.0,3,2.0,2010,4320,2.0,0,2,3,9,2010.0,0,1999,0,98118,47.5153,-122.256,1640,5225,632672.2979076671
37,1402630190,20141111T000000,362000.0,3,2.5,2310,7485,2.0,0,0,3,8,2310.0,0,1986,0,98058,47.439,-122.135,2310,8142,473068.9856294782
38,7942602080,20140616T000000,660000.0,6,1.75,1840,2774,1.0,0,0,3,7,1060.0,780,1900,0,98122,47.6041,-122.31,1680,4292,626761.7047119187
39,3222059206,20140828T000000,265000.0,4,2.5,1820,16103,2.0,0,0,3,7,1820.0,0,2004,0,98030,47.3553,-122.196,2120,21277,350151.09181755764
40,1796200140,20150309T000000,270000.0,3,1.75,2840,9800,1.0,0,0,4,7,1420.0,1420,1977,0,98042,47.3516,-122.119,1650,9590,409491.05696086393
41,3365900520,20140618T000000,192500.0,3,1.0,1080,8580,1.5,0,0,3,6,1080.0,0,1900,0,98168,47.4716,-122.262,1800,12672,391066.545550649
42,4315701163,20150413T000000,585000.0,3,1.5,2230,6000,1.0,0,1,3,8,1260.0,970,1968,0,98136,47.5373,-122.395,2120,7200,545077.809854771
43,9578500180,20150121T000000,427000.0,3,2.5,3192,5653,2.0,0,0,3,8,3192.0,0,2014,0,98023,47.2956,-122.35,3000,5134,577798.2174945638
44,3908100020,20140803T000000,540000.0,4,1.0,1360,5766,1.5,0,0,5,7,1360.0,0,1951,0,98115,47.6827,-122.289,1500,5704,362890.27461000305
45,624110540,20141205T000000,1175000.0,4,3.25,4060,20822,2.0,0,0,3,10,4060.0,0,1991,0,98077,47.7213,-122.055,4170,23958,1025705.24571563
46,1788700070,20140627T000000,170000.0,2,1.0,810,8424,1.0,0,0,4,6,810.0,0,1959,0,98023,47.3286,-122.346,820,8424,202642.98858879737
47,7907600100,20150421T000000,287500.0,4,2.0,1220,9147,1.0,0,0,5,7,1220.0,0,1953,0,98146,47.5011,-122.336,1220,8576,329057.9225157521
48,5315100476,20141010T000000,760250.0,5,2.75,2540,8250,1.0,0,0,4,7,1440.0,1100,1953,0,98040,47.5875,-122.24,2540,11000,585327.6266740308
49,3762900020,20140624T000000,342500.0,2,1.75,1210,7507,1.0,0,0,3,7,1210.0,0,1982,0,98034,47.7078,-122.234,1840,7500,313547.8688935474
50,7922900040,20140522T000000,1075000.0,4,3.0,3600,9200,1.0,0,4,4,9,2100.0,1500,1976,0,98008,47.5866,-122.116,2700,9775,903380.9117250732
51,2771601940,20150504T000000,850000.0,3,1.0,2280,4600,1.0,0,2,3,8,1250.0,1030,1936,0,98119,47.6378,-122.372,1910,4000,682223.2404036716
52,4139440480,20140626T000000,695000.0,3,2.75,2590,12063,2.0,0,0,3,10,2590.0,0,1993,0,98006,47.5527,-122.12,2850,8469,737909.6569218738
53,1214000080,20140626T000000,329950.0,3,1.0,1750,7800,1.0,0,0,4,7,1150.0,600,1956,0,98166,47.4596,-122.343,1750,7560,403818.08474741405
54,4019300480,20141111T000000,502700.0,4,3.5,2710,14016,2.0,0,0,4,8,2710.0,0,1968,0,98155,47.7601,-122.286,1590,27903,537143.088794494
55,8820903560,20141216T000000,380000.0,2,1.0,700,4836,1.0,0,0,4,6,700.0,0,1926,0,98125,47.7139,-122.288,1190,7050,302847.8744631814
56,3353401070,20140625T000000,260000.0,5,2.5,2025,7760,2.0,0,0,3,7,2025.0,0,2007,0,98001,47.2671,-122.256,1664,9000,306955.88382630184
57,7694200070,20140521T000000,334990.0,4,2.5,2220,4228,2.0,0,0,3,8,2220.0,0,2014,0,98146,47.5014,-122.341,2220,4157,440811.36151975783
58,3625700080,20150108T000000,987500.0,4,2.25,3270,15760,1.0,0,0,4,10,2000.0,1270,1974,0,98040,47.5295,-122.229,4100,15760,1386945.5223617526
59,1952200220,20140603T000000,660000.0,3,2.5,2290,2798,3.0,0,0,4,9,2290.0,0,1953,1983,98102,47.641,-122.315,2260,5000,987445.0531560192
60,2768301182,20141204T000000,439950.0,3,2.0,1230,1613,2.0,0,0,3,8,1010.0,220,2003,0,98107,47.6661,-122.37,1610,1873,385879.0093699257
61,7211402115,20140902T000000,230000.0,3,1.0,1120,7500,1.0,0,0,3,7,1120.0,0,1965,0,98146,47.5112,-122.359,1120,5000,274002.4940610334
62,2025079033,20141210T000000,415000.0,1,2.0,3000,204732,2.5,0,2,3,8,3000.0,0,1979,0,98014,47.6331,-121.945,2330,213008,549838.866404615
63,3797310150,20150218T000000,285000.0,4,2.5,1800,9229,2.0,0,0,3,7,1800.0,0,1994,0,98022,47.1927,-122.015,1970,9231,327903.9489266178
64,7137900960,20140625T000000,235000.0,4,2.0,1570,9415,2.0,0,0,4,7,1570.0,0,1984,0,98092,47.3168,-122.174,1550,8978,293909.798286192
65,6679000370,20140525T000000,295000.0,3,2.5,1560,4200,2.0,0,0,3,7,1560.0,0,2003,0,98038,47.3838,-122.026,1560,4200,314440.45871799
66,3359500110,20140624T000000,660000.0,2,2.25,2550,6000,2.0,0,0,5,7,1860.0,690,1902,0,98115,47.6739,-122.323,2010,4000,887065.4227663298
